dataset,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time
linear,0.6200,0.5929,0.6907,0.6381,0.6585,9.3651,0.0189
circles,0.9950,0.9908,1.0000,0.9954,1.0000,9.5909,0.0179
moons,0.9800,0.9643,1.0000,0.9818,0.9940,9.2948,0.0178
imbalanced,0.9150,0.5000,0.1765,0.2609,0.9217,9.6105,0.0177
noisy,0.6000,0.5849,0.8692,0.6992,0.6176,9.8209,0.0177
clustered,0.9800,0.9714,0.9903,0.9808,0.9997,8.9680,0.0175
high_dimensional,0.7600,0.7407,0.8000,0.7692,0.8656,208.0202,0.0091
correlated,0.9050,0.8800,0.9263,0.9026,0.9725,46.2255,0.0178
step_function,0.9950,0.9907,1.0000,0.9953,1.0000,8.5412,0.0168
